"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ints8",910.798576591078,0.0275930705459997,0.165814881446651,0.166408891079402,0.867835177440982,0.925169122706147
"Slc25a34",10.3364640501182,0.772791196901013,0.892905211489002,0.865479545821344,0.386775637747183,0.531311700421652
"Rnf167",2812.69494409421,-0.784416601538542,0.156734463434983,-5.00474869628106,5.59349546662239e-07,7.2827043130469e-06
"Cd53",24303.5829124927,0.184030505209696,0.271502031578476,0.677823676455635,0.49788349718321,0.636207268859775
"Siah1b",67.3286569855854,-0.128295801349037,0.348877437438828,-0.367738889309894,0.713067939872388,0.811936117540383
"Lat2",724.883476080006,-1.61584383794837,0.312657419546927,-5.16809689112733,2.36489707931914e-07,3.38726347252085e-06
"Myh6",8.09425844077119,-0.875880143922726,2.00788383925035,-0.436220525710163,0.662676737084519,0.771436298615444
"Cmtm5",0.366138094610098,-4.57860699912602,6.25406592278575,-0.732100853373572,0.464107012997439,NA
"Appl1",1335.20090810797,-0.0128571530210362,0.103746380229819,-0.123928690259409,0.901371736507583,0.949026414587313
"Spen",3304.38005650952,0.023602993942454,0.149453973432053,0.157928179495239,0.874513392679529,0.929979237870663
"Snrnp25",160.328187458326,0.471398773729746,0.560252123872929,0.841404706279461,0.400121249840428,0.544019743041677
"Oard1",515.732194681487,-0.474332141614251,0.13047829722332,-3.63533362795505,0.000277621115071793,0.00156825168673173
"Cept1",1645.14839946291,-0.0553446989703882,0.12035256120416,-0.459854766833786,0.645620469529166,0.757908349996317
"Cop1",1284.09443121507,0.140788082595408,0.156380674109451,0.900290802537851,0.367965514413639,0.512676091188444
"Ttc3",1259.89299538729,0.0860211739427756,0.130016773115837,0.661615973703148,0.508217367669054,0.645293078679451
"C1qtnf4",6.57314044732085,-1.1103870825721,0.779701947975627,-1.42411736363497,0.15441250083243,0.273456962503285
"Iqcc",170.227501133781,0.148664534597768,0.205070057539217,0.72494510598817,0.4684857076006,0.609820141530056
"Iqsec3",0.815256981101503,0,6.34265547803321,0,1,NA
"S100g",948.647175753055,-1.44568468257283,1.3582733158099,-1.06435476994614,0.287168015265435,0.431735983835094
"Chil3",39435.1472651163,1.770890013206,1.03984677875511,1.70302976302536,0.0885624986788924,0.179568556232594
"Eml2",1275.94347625392,-0.694181215937001,0.249437253652152,-2.78298933207892,0.00538605770708943,0.0188882513829443
"Agbl2",114.43057073382,-1.0031587389734,0.938910950496642,-1.06842798930269,0.285327497109617,0.42992821537326
"Tex264",926.944209668133,-0.509158775112999,0.180498829590813,-2.82084252993358,0.0047897708290104,0.0171502162754955
"Dennd6a",820.603974959457,0.14451933202058,0.136898568367791,1.0556672267917,0.291120275221482,0.435559076482323
"Hlcs",672.369995348181,0.246047097677858,0.2105607606426,1.16853252679635,0.242592026855794,0.381754251579573
"1700123O20Rik",457.737378329392,0.294773308695543,0.143542531003829,2.05356075745717,0.0400182235725897,0.0956007174349434
"Snrpd2",475.276108262703,0.15928387254742,0.188078988900792,0.846898813516267,0.397051523875475,0.541189619893433
"Catsperd",15.3232122400517,0.249732171291568,0.848979969932034,0.294155551527983,0.76863904355069,0.853887624727394
"Zmynd15",729.282424211182,-0.34133850862657,0.284494167731928,-1.19980845775442,0.23021373865894,0.366911579961113
"Gpr161",39.6077282035113,0.861374232978671,0.567484735766723,1.51788088505126,0.129044429540513,0.239448455814823
"Gm11639",5.07537452310866,6.82966224387217,1.81124956077855,3.77069090409413,0.00016279621107889,0.00100448463976589
"Six5",129.287594815304,-0.825524039019463,0.523807402047674,-1.57600682195844,0.115024231034425,0.219192302896344
